Hz,V
1.0e-7,0.9999996037706281
1.010009900099001e-5,0.9959741759600163
2.010019800198002e-5,0.9842420812636044
3.010029700297003e-5,0.9653317641580836
4.010039600396004e-5,0.9400452459748457
5.0100495004950046e-5,0.9093638978366413
6.0100594005940054e-5,0.8743481809685798
7.010069300693006e-5,0.8360487922717637
8.010079200792007e-5,0.7954398198752018
9.010089100891008e-5,0.7533770799439149
0.00010010099000990009,0.7105792061207629
0.0001101010890108901,0.6676261317166603
0.00012010118801188012,0.6249689619621822
0.0001301012870128701,0.5829460002818699
0.00014010138601386012,0.5418010349977028
0.00015010148501485015,0.5017013554920174
0.00016010158401584014,0.46275407942272045
0.00017010168301683014,0.4250201631856829
0.00018010178201782016,0.3885259687488801
0.00019010188101881018,0.3532725410414228
0.00020010198001980018,0.31924288223465397
0.0002101020790207902,0.286407549800311
0.00022010217802178022,0.2547288948881388
0.00023010227702277024,0.2241642227361501
0.00024010237602376024,0.1946681133149387
0.0002501024750247502,0.1661940968830566
0.0002601025740257402,0.1386958398015628
0.00027010267302673025,0.11212796242158213
0.00028010277202772025,0.08644658330422612
0.00029010287102871024,0.06160966195449036
0.0003001029700297003,0.03757719487505641
0.0003101030690306903,0.014311306249196302
0.0003201031680316803,0.008223735818607428
0.0003301032670326703,0.030061554498745507
0.00034010336603366027,0.05123373387409824
0.0003501034650346503,0.07176991056031577
0.0003601035640356403,0.09169787825828729
0.0003701036630366303,0.11104369873848448
0.00038010376203762036,0.12983181465680782
0.0003901038610386104,0.14808516101059424
0.0004001039600396004,0.16582527308293404
0.0004101040590405904,0.18307238948550072
0.0004201041580415804,0.1998455494643793
0.00043010425704257044,0.21616268403250488
0.00044010435604356044,0.2320407007759094
0.00045010445504455043,0.24749556237883336
0.0004601045540455405,0.26254235904728856
0.0004701046530465305,0.27719537509865316
0.00048010475204752047,0.2914681500389224
0.0004901048510485105,0.3053735344787247
0.0005001049500495005,0.3189237412511727
0.0005101050490504905,0.33213039209424644
0.0005201051480514805,0.34500456025157733
0.0005301052470524705,0.3575568093310725
0.0005401053460534606,0.36979722874285176
0.0005501054450544505,0.38173546601800934
0.0005601055440554405,0.3933807562888289
0.0005701056430564306,0.4047419491900647
0.0005801057420574205,0.4158275334202553
0.0005901058410584106,0.4266456591821746
0.0006001059400594006,0.43720415870261403
0.0006101060390603906,0.44751056501392655
0.0006201061380613806,0.45757212916317597
0.0006301062370623706,0.4673958359993596
0.0006401063360633606,0.4769884186750045
0.0006501064350643507,0.48635637198541265
0.0006601065340653406,0.4955059646569356
0.0006701066330663307,0.5044432506847857
0.0006801067320673206,0.5131740798110207
0.0006901068310683106,0.5217041072243643
0.0007001069300693007,0.5300388025553914
0.0007101070290702906,0.5381834582332641
0.0007201071280712807,0.5461431972635489
0.0007301072270722707,0.5539229804806571
0.0007401073260732607,0.561527613323047
0.0007501074250742507,0.568961752174454
0.0007601075240752408,0.5762299103100452
0.0007701076230762307,0.5833364634824503
0.0007801077220772208,0.5902856551790923
0.0007901078210782107,0.5970816015790569
0.0008001079200792008,0.6037282962348989
0.0008101080190801908,0.6102296145022205
0.0008201081180811807,0.6165893177375684
0.0008301082170821708,0.622811057283144
0.0008401083160831607,0.6288983782549762
0.0008501084150841508,0.6348547231495607
0.0008601085140851408,0.6406834352824993
0.0008701086130861308,0.6463877620713405
0.0008801087120871208,0.6519708581736515
0.0008901088110881109,0.6574357884902864
0.0009001089100891008,0.6627855310428735
0.0009101090090900909,0.6680229797336936
0.0009201091080910809,0.673150946995365
0.0009301092070920708,0.6781721663370749
0.0009401093060930609,0.6830892947934842
0.0009501094050940508,0.6879049152818969
0.0009601095040950409,0.69262153887279
0.0009701096030960309,0.6972416069783753
0.000980109702097021,0.7017674934634622
0.000990109801098011,0.7062015066825504
0.0010001099000990009,0.710545891446764
0.001010109999099991,0.714802830923955
0.001020110098100981,0.7189744484750554
0.001030110197101971,0.7230628094295292
0.0010401102961029609,0.7270699228025674
0.001050110395103951,0.73099774295649
0.001060110494104941,0.7348481712086513
0.0010701105931059309,0.7386230573879934
0.001080110692106921,0.7423242013422617
0.001090110791107911,0.7459533543977651
0.001100110890108901,0.749512220773466
0.001110110989109891,0.7530024589510702
0.001120111088110881,0.7564256830027026
0.001130111187111871,0.7597834638776717
0.0011401112861128611,0.7630773306497418
0.001150111385113851,0.766308771726273
0.001160111484114841,0.7694792360205098
0.0011701115831158312,0.7725901340882563
0.001180111682116821,0.7756428392301079
0.001190111781117811,0.7786386885603628
0.0012001118801188012,0.7815789840436954
0.0012101119791197911,0.784464993500619
0.001220112078120781,0.7872979515827346
0.001230112177121771,0.7900790607187175
0.0012401122761227612,0.7928094920319605
0.0012501123751237511,0.7954903862307604
0.001260112474124741,0.7981228544718977
0.0012701125731257312,0.8007079791984335
0.0012801126721267212,0.8032468149525217
0.001290112771127711,0.8057403891639972
0.0013001128701287013,0.8081897029154885
0.0013101129691296912,0.8105957316847708
