Hz,V
1E-07,0.001005309141142282
1.023292992280754E-07,0.0010287257747074216
1.0471285480508993E-07,0.0010526878499852678
1.0715193052376062E-07,0.0010772080718201098
1.0964781961431848E-07,0.0011022994409811157
1.1220184543019632E-07,0.0011279752610546658
1.1481536214968825E-07,0.0011542491454971846
1.1748975549395293E-07,0.0011811350248522078
1.2022644346174127E-07,0.0012086471541354967
1.2302687708123812E-07,0.0012368001203921274
1.258925411794167E-07,0.001265608850429539
1.2882495516931338E-07,0.001295088618730645
1.318256738556407E-07,0.001325255055551198
1.3489628825916533E-07,0.0013561241552056877
1.3803842646028844E-07,0.0013877122845461652
1.412537544622754E-07,0.0014200361916384813
1.445439770745927E-07,0.001453113014640522
1.4791083881682069E-07,0.0014869602908871534
1.5135612484362075E-07,0.0015215959661866747
1.5488166189124805E-07,0.0015570384043337
1.5848931924611125E-07,0.0015933063968435026
1.621810097358929E-07,0.0016304191729129777
1.6595869074375596E-07,0.0016683964096134783
1.6982436524617432E-07,0.0017072582423209293
1.7378008287493743E-07,0.0017470252753887352
1.7782794100389216E-07,0.0017877185930691133
1.8197008586099822E-07,0.0018293597706886386
1.862087136662866E-07,0.001871970886083909
1.905460717963246E-07,0.0019155745313033643
1.949844599758044E-07,0.001960193824581455
1.9952623149688782E-07,0.002005852422591489
2.0417379446695278E-07,0.0020525745329836153
2.089296130854038E-07,0.00210038492721459
2.1379620895022306E-07,0.002149308953676084
2.1877616239495508E-07,0.002199372551128468
2.2387211385683377E-07,0.002250602262447181
2.290867652767771E-07,0.002303025248688918
2.34422881531992E-07,0.0023566693034850796
2.398832919019488E-07,0.002411562867770058
2.454708915685028E-07,0.0024677350448521628
2.5118864315095775E-07,0.0025252156158350855
2.570395782768861E-07,0.0025840350553980877
2.630267991895379E-07,0.002644224547943187
2.6915348039269127E-07,0.002705816004117882
2.754228703338163E-07,0.0027688420777220966
2.81838293126445E-07,0.0028333361830082705
2.884031503126602E-07,0.002899332512383689
2.9512092266663814E-07,0.0029668660545243714
3.019951720402012E-07,0.0030359726129100613
3.090295432513586E-07,0.0031066888247900425
3.1622776601683744E-07,0.0031790521805897913
3.2359365692962774E-07,0.0032531010437686176
3.3113112148259053E-07,0.003328874671138769
3.3884415613920195E-07,0.003406413233656637
3.46736850452531E-07,0.0034857578376969955
3.548133892335748E-07,0.0035669505468214316
3.630780547701006E-07,0.003650034404052366
3.715352290971718E-07,0.003735053454664364
3.801893963205604E-07,0.0038220527695046564
3.890451449942798E-07,0.003911078468855068
3.981071705534964E-07,0.004002177746847869
4.073802778041118E-07,0.004095398896448298
4.1686938347033446E-07,0.004190791335016788
4.265795188015917E-07,0.004288405630464289
4.36515832240165E-07,0.00438829352801429
4.466835921509621E-07,0.004490507977585517
4.57088189614874E-07,0.004595103161809565
4.6773514128719714E-07,0.004702134524698039
4.786300923226372E-07,0.0048116588009741385
4.89778819368445E-07,0.004923734046083872
5.011872336272711E-07,0.005038419666902549
5.128613839913636E-07,0.0051557764531524
5.248074602497714E-07,0.00527586660954766
5.370317963702515E-07,0.005398753788683698
5.495408738576232E-07,0.005524503124687211
5.623413251903477E-07,0.0056531812676448665
5.754399373371555E-07,0.005784856418828099
5.888436553555874E-07,0.005919598366732234
6.025595860743561E-07,0.0060574785239484365
6.165950018614805E-07,0.0061985699648874374
6.309573444801915E-07,0.006342947464374338
6.456542290346537E-07,0.0064906875371342765
6.606934480075941E-07,0.006641868478189071
6.760829753919798E-07,0.006796570404185519
6.918309709189344E-07,0.006954875295676292
7.079457843841358E-07,0.0071168670403749575
7.244359600749878E-07,0.007282631477407042
7.413102413009152E-07,0.007452256442579489
7.585775750291813E-07,0.00762583181469139
7.762471166286892E-07,0.007803449562909266
7.943282347242789E-07,0.007985203795230694
8.128305161640966E-07,0.00817119080806056
8.317637711026682E-07,0.008361509136924685
8.511380382023735E-07,0.008556259608346044
8.709635899560776E-07,0.008755545392909401
8.912509381337424E-07,0.008959472059540513
9.120108393559066E-07,0.009168147631026738
9.332543007969878E-07,0.009381682640806322
9.549925860214326E-07,0.009600190191054098
9.772372209558073E-07,0.009823786012091993
9.999999999999966E-07,0.01005258852315312
1.0232929922807506E-06,0.010286718894528856
1.0471285480508958E-06,0.010526301111128837
1.0715193052376026E-06,0.010771462037484188
1.096478196143181E-06,0.011022331484225116
1.1220184543019595E-06,0.011279042276064202
1.1481536214968787E-06,0.011541730321317549
1.1748975549395253E-06,0.011810534682996202
1.2022644346174085E-06,0.0120855976515011
1.230268770812377E-06,0.012367064818954939
1.2589254117941625E-06,0.012655085155205279
1.288249551693129E-06,0.012949811085533355
1.318256738556402E-06,0.013251398570103804
1.3489628825916484E-06,0.013560007185190884
1.3803842646028796E-06,0.0138758002062173
1.4125375446227488E-06,0.014198944692642188
1.4454397707459218E-06,0.014529611574735195
1.4791083881682016E-06,0.01486797574227423
1.513561248436202E-06,0.01521421613520455
1.5488166189124752E-06,0.015568515836297564
1.584893192461107E-06,0.01593106216584784
1.6218100973589234E-06,0.01630204677844727
1.659586907437554E-06,0.016681665761875603
1.6982436524617374E-06,0.017070119738146806
1.7378008287493683E-06,0.01746761396675099
1.7782794100389155E-06,0.017874358450131713
1.8197008586099758E-06,0.018290568041438658
1.8620871366628597E-06,0.018716462554595883
1.9054607179632392E-06,0.019152266876725565
1.949844599758037E-06,0.01959821108296734
1.995262314968871E-06,0.02005453055373325
2.0417379446695205E-06,0.02052146609443784
2.0892961308540305E-06,0.020999264057743022
2.137962089502223E-06,0.021488176468356653
2.1877616239495433E-06,0.021988461150423504
2.23872113856833E-06,0.022500381857546558
2.2908676527677633E-06,0.02302420840547602
2.344228815319912E-06,0.023560216807502483
2.39883291901948E-06,0.02410868941258983
2.4547089156850195E-06,0.02466991504628221
2.5118864315095687E-06,0.025244189154418287
2.570395782768852E-06,0.0258318139496844
2.63026799189537E-06,0.026433098561036726
2.691534803926903E-06,0.02704835918602058
2.7542287033381536E-06,0.027677919246013004
2.8183829312644407E-06,0.02832210954441255
2.8840315031265923E-06,0.028981268427797354
2.951209226666372E-06,0.029655741950070105
3.019951720402002E-06,0.030345884039605052
3.090295432513576E-06,0.03105205666940897
3.1622776601683644E-06,0.03177463003030412
3.2359365692962673E-06,0.032513982707137
3.311311214825895E-06,0.03327050185801222
3.388441561392009E-06,0.03404458339654586
3.4673685045252995E-06,0.034836632177127
3.5481338923357373E-06,0.035647062183170396
3.6307805477009955E-06,0.03647629671833682
3.715352290971707E-06,0.037324768600690256
3.801893963205593E-06,0.03819292035975362
3.8904514499427864E-06,0.039081204436416786
3.981071705534952E-06,0.03999008338564085
4.073802778041106E-06,0.04092003008189364
4.168693834703332E-06,0.041871527927240415
4.265795188015904E-06,0.042845071062002596
4.365158322401636E-06,0.04384116457788484
4.466835921509607E-06,0.044860324733457566
4.570881896148725E-06,0.045903079171868026
4.677351412871956E-06,0.046969967140636726
4.786300923226356E-06,0.048061539713380515
4.897788193684434E-06,0.04917836001328477
5.011872336272694E-06,0.05032100343812866
5.1286138399136184E-06,0.05149005788664582
5.248074602497695E-06,0.052686123985982006
5.370317963702495E-06,0.05390981531998575
5.495408738576213E-06,0.05516175865804408
5.623413251903457E-06,0.05644259418414655
5.7543993733715346E-06,0.0577529757258327
5.888436553555854E-06,0.05909357098264571
6.02559586074354E-06,0.06046506175368168
6.165950018614783E-06,0.0618681441637882
6.309573444801892E-06,0.06330352888792713
6.456542290346514E-06,0.06477194137317527
6.606934480075918E-06,0.06627412205779348
6.760829753919774E-06,0.0678108265867468
6.91830970918932E-06,0.06938282602300967
7.0794578438413335E-06,0.07099090705393607
7.244359600749853E-06,0.07263587219191808
7.413102413009126E-06,0.07431853996849665
7.585775750291787E-06,0.07603974512102366
7.762471166286865E-06,0.07780033877090682
7.94328234724276E-06,0.07960118859239625
8.128305161640937E-06,0.08144317897079578
8.317637711026653E-06,0.08332721114889952
8.511380382023707E-06,0.08525420336036996
8.709635899560748E-06,0.08722509094868078
